P48347	AT1G22300
P0DI10	AT1G05240
Q9SLH7	AT2G35380
Q42580	AT2G37130
P24102	AT2G38380
O80912	AT2G38390
Q9ZV04	AT2G39040
O80822	AT2G41480
O22862	AT2G43480
Q43735	AT3G01190
Q9SS67	AT3G03670
Q9LSP0	AT3G17070
Q67Z07	AT1G05250
Q9LSY7	AT3G21770
Q9LHA7	AT3G28200
Q9LHB9	AT3G32980
P24101	AT3G49110
Q9SMU8	AT3G49120
Q96510	AT3G49960
Q9SD46	AT3G50990
Q9LDN9	AT4G08770
Q9LDA4	AT4G08780
Q9SUT2	AT4G11290
O23044	AT1G05260
O23474	AT4G16270
O23609	AT4G17690
Q9SB81	AT4G21960
Q93V93	AT4G26010
Q96522	AT4G30170
Q9SZB9	AT4G33420
O23237	AT4G36430
Q9LE15	AT1G14540
Q43731	AT4G37520
Q9SZE7	AT4G37530
Q9FLC0	AT5G05340
Q42578	AT5G06720
Q9FG34	AT5G06730
Q96509	AT5G14130
Q9LXG3	AT5G15180
Q43729	AT5G17820
P59120	AT5G19880
Q39034	AT5G19890
Q9M9Q9	AT1G14550
Q9FMR0	AT5G22410
Q9FLV5	AT5G24070
Q9FKA4	AT5G39580
Q9FL16	AT5G40150
Q43872	AT5G42180
Q9FJR1	AT5G47000
Q9LT91	AT5G51890
Q9LVL2	AT5G58390
Q9LVL1	AT5G58400
Q96511	AT5G64100
O48677	AT1G24110
Q9FMI7	AT5G64110
Q43387	AT5G64120
Q9FJZ9	AT5G66390
Q43873	AT5G67400
Q9SY33	AT1G30870
Q9LNL0	AT1G34510
Q96512	AT1G44970
Q9LV48	AT3G24550
Q1PEM5	AT3G24540
Q9ZNQ8	AT2G18470
Q8GX23	AT4G34440
Q9LS95	AT3G18810
Q9XI96	AT1G49270
Q9FFW5	AT5G38560
Q9SX31	AT1G68690
P56774	ATCG00730
P56775	ATCG00600
P61039	ATCG00210
Q9SYU4	AT2G26350
Q9M841	AT3G04460
Q9SRR0	AT3G07560
Q9FXT6	AT5G62810
Q8S8S1	AT2G45690
Q9FNP1	AT5G08470
Q9LSX7	AT3G21865
Q9CA86	AT1G79810
Q8LDG7	AT3G18160
Q8S9K7	AT1G48635
Q8LGF7	AT5G25760
Q9FMA3	AT5G56290
Q8RY16	AT1G03000
Q9XF57	AT1G29260
Q9SR43	AT3G09150
Q9LJ98	AT3G22480
P57741	AT5G49510
Q9M4B5	AT1G08780
P57742	AT5G23290
Q9M5J9	AT5G06860
Q9M5J8	AT5G06870
Q9LD57	AT3G12780
P50318	AT1G56190
Q8H112	AT4G22890
Q8GYC7	AT4G11960
P49062	AT1G02790
P49063	AT3G07850
Q9LW07	AT3G15720
Q949Z1	AT1G48100
Q94AJ5	AT1G80170
O22818	AT2G43860
O49299	AT1G23190
Q9SGC1	AT1G70730
Q9SCY0	AT5G51820
Q9SL05	AT2G05620
Q9ST43	AT2G29700
O80805	AT1G65330
Q7XJK8	AT1G65300
Q8GYE0	AT3G52190
O80873	AT1G07170
O80873	AT2G30000
Q93ZF5	AT1G68740
Q6R8G8	AT2G03260
Q6R8G7	AT1G14040
Q6R8G6	AT4G25350
Q6R8G5	AT2G03240
Q6R8G4	AT2G03250
Q6R8G3	AT1G26730
Q6R8G2	AT1G35350
Q9LJW0	AT3G29060
Q6R8G0	AT1G69480
Q8S403	AT3G23430
O48963	AT3G45780
P93025	AT5G58140
Q8LB72	AT2G47590
Q9SB00	AT1G12370
Q9SD76	AT3G46970
Q8VYM2	AT5G43350
Q96243	AT5G43370
O48639	AT5G43360
Q96303	AT2G38940
Q8GYF4	AT2G32830
Q9ZWT3	AT5G43340
Q494P0	AT3G54700
Q9SYQ1	AT1G20860
Q9S735	AT1G76430
Q38954	AT3G26570
P14712	AT1G09570
P14713	AT2G18790
P14714	AT5G35840
P42497	AT4G16250
P42498	AT4G18130
Q9LZ76	AT5G04490
Q67ZM7	AT5G58560
P42339	AT1G60490
Q56YP2	AT1G21980
Q8L796	AT1G77740
O48709	AT2G26420
Q9M1K2	AT3G56960
Q9SLG9	AT2G41210
Q9SFB8	AT3G07960
Q9SUI2	AT1G10900
Q8RY89	AT1G60890
Q8L850	AT3G09920
Q9LMN1	AT1G01460
Q9M149	AT4G01190
Q8GZM7	AT2G20180
O80536	AT1G09530
Q8W2F3	AT2G43010
Q84LH8	AT3G59060
Q8L5W7	AT3G62090
Q570R7	AT5G61270
Q500W7	AT5G22130
O64792	AT1G61280
Q5PP26	AT1G13230
Q8L5W8	AT2G46970
Q42539	AT3G48330
Q9SL42	AT2G18040
Q9LU77	AT5G57090
Q9S7Z8	AT1G70940
Q8RWZ6	AT2G01420
Q9LFP6	AT5G15100
Q9SQH6	AT1G77110
Q940Y5	AT1G23080
Q9FFD0	AT5G16530
Q9C6B8	AT1G73590
P61837	AT3G61430
Q06611	AT2G45960
Q08733	AT1G01620
Q39196	AT4G00430
Q8LAA6	AT4G23400
P43286	AT3G53420
P43287	AT2G37170
P30302	AT2G37180
Q9FF53	AT5G60660
Q9SV31	AT3G54820
Q9ZV07	AT2G39010
P93004	AT4G35100
Q9ZVX8	AT2G16850
P93732	AT2G14260
Q9LPS9	AT1G50590
Q9ZW82	AT2G43120
Q9LX45	AT3G59260
Q5S2C3	AT5G18410
Q8LBA6	AT1G68000
Q8GUK6	AT4G38570
P48007	AT5G20240
Q9SQZ9	AT3G04780
Q9S775	AT2G25170
Q9LIK0	AT3G22960
Q9FLW9	AT5G52920
Q93Z53	AT1G32440
Q9M3B6	AT3G49160
Q9SWI1	AT2G02950
Q9M9T4	AT1G14280
Q8GXS8	AT1G18810
Q9FYE2	AT5G04190
Q948R1	AT2G44810
Q9MA46	AT1G05800
Q9SIN9	AT2G31690
Q941F1	AT1G06800
Q3EBR6	AT2G30550
Q9C8J6	AT1G51440
Q9LNC2	AT1G06250
O82274	AT2G31100
Q9SJI7	AT2G42690
P11490	AT1G76100
P42699	AT1G20340
Q39032	AT5G58670
Q39033	AT3G08510
Q56W08	AT4G38530
Q944C1	AT5G58700
Q944C2	AT5G58690
Q8GV43	AT2G40116
Q9LY51	AT3G55940
Q9STZ3	AT3G47290
Q6NMA7	AT3G47220
Q38882	AT3G15730
Q9SSQ9	AT1G52570
Q9C5Y0	AT4G35790
Q9C888	AT1G55180
Q9T053	AT4G11850
Q9T051	AT4G11830
Q9T052	AT4G11840
Q9LRZ5	AT3G16785
Q9M9W8	AT3G05630
P58766	AT5G25370
Q5YGP8	AT3G20840
Q5YGP7	AT1G51190
Q9LJ64	AT3G19020
Q9XIB6	AT1G49490
Q9XIL9	AT2G15880
O81765	AT4G33970
Q43307	AT1G32200
Q8H0W1	AT3G24590
Q0WVE9	AT1G05030
Q9FYG3	AT1G67300
Q2V4B9	AT1G79820
Q56ZZ7	AT5G16150
Q9XIH7	AT2G16120
Q9XIH6	AT2G16130
Q9ZNS0	AT2G18480
Q0WUU6	AT2G20780
Q8VZ80	AT3G18830
Q8GXR2	AT4G36670
Q9LJ42	AT3G24670
Q9SCP2	AT3G53190
Q93Z04	AT3G54920
Q944R1	AT4G13710
O65456	AT4G22080
O65457	AT4G22090
Q9C5M8	AT4G24780
Q940Q1	AT1G04680
Q93WF1	AT5G48900
Q9FM66	AT5G55720
Q93Z25	AT5G63180
Q9M9S2	AT1G14420
Q9C8G4	AT1G30350
Q9FXD8	AT1G67750
O64510	AT2G02720
Q9SRH4	AT3G01270
Q9M8Z8	AT3G07010
Q9LRM5	AT3G24230
Q9FMP4	AT5G12190
Q9ASY9	AT3G16990
Q43128	AT1G17260
Q9LV11	AT5G62670
P20649	AT2G18960
P19456	AT4G30190
P20431	AT5G57350
Q9SU58	AT3G47950
Q9SH76	AT2G07560
Q9LY32	AT3G60330
Q9M2A0	AT3G42640
Q42556	AT1G80660
Q9T0E0	AT4G11730
O64479	AT2G19150
Q9SIJ9	AT2G21610
O48711	AT2G26440
Q7Y201	AT2G26450
Q9ZQA4	AT2G36700
Q9ZQA3	AT2G36710
Q9SKX2	AT2G43050
O22149	AT2G45220
Q1JPL7	AT1G11580
Q84JX1	AT1G11590
Q43867	AT1G53840
O22256	AT2G47550
Q8GX86	AT3G05610
Q9M9W7	AT3G05620
Q8GXA1	AT3G06830
Q9SG77	AT3G10710
Q94CB1	AT3G10720
Q9LUL8	AT3G14300
Q3E8Z8	AT5G27870
Q4PSN0	AT3G24130
Q42534	AT1G53830
Q3EAY9	AT3G27980
Q9LVQ0	AT3G29090
Q9LXK7	AT3G43270
Q9STY3	AT3G47400
Q9M3B0	AT3G49220
Q9LYT5	AT3G59010
Q84R10	AT3G60730
Q5MFV6	AT3G62170
O81320	AT4G00190
O81415	AT4G02300
O49006	AT3G14310
O81301	AT4G02320
Q8RXK7	AT4G02330
Q1PEC0	AT4G03930
O23447	AT4G15980
Q9SMY7	AT4G33220
Q9SMY6	AT4G33230
Q9FF78	AT5G04960
Q9FF77	AT5G04970
Q9LY19	AT5G07410
Q9LY18	AT5G07420
O80722	AT2G47030
Q9LY17	AT5G07430
Q9LXD9	AT5G09760
O04953	AT5G26810
Q8VYZ3	AT5G19730
Q3E989	AT5G20860
Q3E9D3	AT5G18990
Q4PT34	AT1G11370
Q9MAL0	AT1G44980
Q9FJ21	AT5G49180
Q9FHN5	AT5G51490
Q5MFV8	AT2G47040
Q9FHN4	AT5G51500
Q9FK05	AT5G53370
Q9FM79	AT5G55590
Q9FKF3	AT5G61680
Q8L7Q7	AT5G64640
Q4PSQ5	AT2G47280
Q9LSP1	AT3G17060
Q8LPF3	AT5G47500
O49298	AT1G23200
Q9SRX4	AT1G02810
O23038	AT1G05310
Q9LNF2	AT1G48020
Q9LUV1	AT3G17220
O04499	AT1G09780
Q9M9K1	AT3G08590
Q9FF41	AT5G38150
Q9C9N6	AT1G66840
O80840	AT2G45790
Q9ZS51	AT4G04470
Q8H118	AT3G23300
B9DFI7	AT1G26850
Q93YV7	AT4G14360
Q8GYW9	AT1G13860
Q3EC77	AT2G03480
Q84TJ0	AT3G10200
Q9LZA4	AT5G04060
Q940J9	AT1G04430
Q8VZV7	AT5G14430
Q94KE1	AT1G77260
O22285	AT2G39750
Q9FG39	AT5G06050
Q93W95	AT4G00740
Q94EJ6	AT4G18030
Q9ZPH9	AT4G00750
O80844	AT2G45750
Q9SZX8	AT4G10440
Q9C884	AT1G33170
Q9ZW75	AT2G43200
Q9C6S7	AT1G31850
Q94II3	AT4G19120
Q9LYN3	AT3G56080
Q9SIZ3	AT2G40280
Q6NPR7	AT1G29470
Q0WT31	AT2G34300
Q8L7V3	AT5G64030
Q9SD39	AT3G51070
Q9LN50	AT1G19430
Q9C9Q8	AT1G78240
Q9FGY9	AT5G49570
Q9FPW6	AT3G61600
F4HVJ3	AT1G67960
Q9CAH5	AT1G72590
Q9SI62	AT2G16530
Q04088	AT2G31370
Q8VZM7	AT5G02940
Q940Y9	AT5G43745
Q9LTX4	AT5G49960
Q9LUV2	AT3G17210
Q6AWV1	AT1G04635
Q42536	AT5G54190
P21218	AT4G27440
O48741	AT1G03630
Q9SA05	AT1G31120
O64769	AT2G35060
O80739	AT1G60160
Q8LPL8	AT4G33530
Q56Y52	AT2G05210
Q6NKX5	AT5G06310
A9JTY4	AT2G04395
O22397	AT2G30070
O22881	AT2G40540
Q9FE38	AT4G23640
Q9LD18	AT3G02050
Q9M7K4	AT4G13420
Q8W4I4	AT1G70300
Q9FY75	AT5G09400
Q9M7J9	AT5G14880
O49423	AT4G19960
Q9CAM8	AT1G63150
Q9C8T7	AT1G63330
Q9SH26	AT1G63400
Q9SH60	AT1G64100
Q9C7V5	AT1G64310
Q0WKZ3	AT1G64580
P0C7R3	AT1G64583
Q3ECH5	AT1G66345
Q9CAA8	AT1G68930
Q9CAA5	AT1G68980
P0C7R4	AT1G69290
Q9C507	AT1G69350
Q9C9A2	AT1G71060
Q8GZA6	AT1G71210
Q9C9H9	AT1G71420
Q9C9I3	AT1G71460
Q9C9I6	AT1G71490
Q9FX35	AT1G73400
Q9C9U0	AT1G73710
Q9CA73	AT1G74400
P30366	AT2G29400
Q9CA58	AT1G74580
Q9CA56	AT1G74600
Q9CA54	AT1G74630
Q9SSF9	AT1G74750
Q9S7Q2	AT1G74850
Q9SGQ6	AT1G76280
O49287	AT1G77010
Q3ECB8	AT1G77170
Q9FVX2	AT1G77360
P48482	AT5G59160
Q1PFC5	AT1G77405
A3KPF8	AT1G79080
Q9SAK0	AT1G79490
Q9SAJ5	AT1G79540
Q8GW57	AT1G80150
Q9C977	AT1G80270
Q9M8M3	AT1G80550
Q9SAH2	AT1G80880
Q9ZU31	AT2G01360
Q9ZU29	AT2G01390
P48483	AT1G64040
Q9ZVF4	AT2G01510
Q9ZUA2	AT2G01740
Q5XET4	AT2G01860
P0C894	AT2G02150
Q1PFA6	AT2G02750
Q8LK93	AT2G02980
Q9ZQ74	AT2G03380
Q9SI53	AT2G03880
Q9SJ73	AT2G04860
Q9ZUE9	AT2G06000
P48484	AT2G39840
Q9SIT7	AT2G13600
Q9ZQF1	AT2G15630
Q9ZQE5	AT2G15690
Q9XIL5	AT2G15820
Q9XIM8	AT2G15980
Q9ZVX5	AT2G16880
Q8GWA9	AT2G17033
Q0WPZ6	AT2G17140
P48485	AT3G46820
Q84VG6	AT2G17525
Q84J71	AT2G17670
Q9ZU67	AT2G18520
O64624	AT2G18940
Q6NKW7	AT2G19280
Q9SIL5	AT2G20540
Q9SKU6	AT2G20710
Q9SKQ4	AT2G21090
Q9SHZ8	AT2G22070
Q9SJZ3	AT2G22410
P48486	AT4G11240
Q680H3	AT2G25580
O81028	AT2G26790
Q9ZUW3	AT2G27610
Q9ZUY1	AT2G27800
Q9ZUU7	AT2G28050
O82380	AT2G29760
Q0WNN7	AT2G30100
O49343	AT2G30780
Q9SIC9	AT2G31400
Q66GI4	AT2G32230
O82733	AT5G43380
Q8S8P6	AT2G32630
P93005	AT2G33680
P93011	AT2G33760
Q8S8Q7	AT2G34370
O64705	AT2G34400
O64766	AT2G35030
O82178	AT2G35130
Q9SJN2	AT2G36240
Q9ZQA1	AT2G36730
Q9SJK9	AT2G36980
O82734	AT5G27840
Q9ZUU3	AT2G37230
Q9ZUT5	AT2G37310
Q9ZUT4	AT2G37320
Q8L6Y7	AT2G38420
O80958	AT2G39230
O80647	AT2G39620
Q9S733	AT2G40240
Q7XJN6	AT2G40720
Q8RWS8	AT2G41720
Q9M9W3	AT3G05580
Q9SJG6	AT2G42920
Q1PEU4	AT2G44880
O22137	AT2G45350
O82363	AT2G46050
Q9ZU88	AT2G48000
Q9SS97	AT3G01580
Q9S7F4	AT3G02010
Q9FWA6	AT3G02330
Q9M891	AT3G02490
P0C896	AT3G02650
Q9SS60	AT3G03580
Q9M8W9	AT3G04130
Q9SR01	AT3G04750
Q9SR00	AT3G04760
Q9MA95	AT3G05240
Q9MA85	AT3G05340
Q9SQU6	AT3G06430
Q9M907	AT3G06920
Q9SFV9	AT3G07290
Q9SR82	AT3G08820
Q9SS83	AT3G09040
Q9SS81	AT3G09060
Q9SF38	AT3G09650
Q9CAY1	AT3G11460
Q9LTV8	AT3G12770
Q9LK58	AT3G13150
Q9LK57	AT3G13160
Q9LIC3	AT3G13770
Q9LRV9	AT3G13880
Q9LUL5	AT3G14330
Q9LUD6	AT3G14580
Q9LUC2	AT3G14730
P0C898	AT3G15130
Q9LIL5	AT3G15200
Q9LRP6	AT3G15590
Q9LSB8	AT3G15930
Q9LW84	AT3G16010
Q9LUS3	AT3G16610
Q9LUR2	AT3G16710
Q9LSQ2	AT3G16890
Q9LSK8	AT3G18020
Q5G1S8	AT3G18110
Q9LHN5	AT3G18840
Q9LJ69	AT3G18970
Q9LT48	AT3G20730
Q9LVF9	AT3G21470
Q9LIE7	AT3G22150
Q6NQ83	AT3G22470
Q9LUJ4	AT3G22670
Q9LUJ2	AT3G22690
Q9LS88	AT3G23020
Q9LW63	AT3G23330
Q9LJR6	AT3G25060
Q9LSF5	AT3G25210
Q9LU94	AT3G25970
Q9LRV2	AT3G26540
Q38959	AT3G26630
Q9LW32	AT3G26782
Q9LJJ1	AT3G28640
Q9LJI9	AT3G28660
Q9LS72	AT3G29230
Q84J46	AT3G29290
Q9M2A1	AT3G42630
Q9SNB7	AT3G46610
Q9STF3	AT3G46790
Q9STF9	AT3G46870
Q9SN85	AT3G47530
Q9STS9	AT3G47840
Q9STK5	AT3G48250
Q9M302	AT3G48810
P0C899	AT3G49142
Q5G1T1	AT3G49170
Q9M3A8	AT3G49240
Q9M2Y7	AT3G49710
P0C8A0	AT3G49730
Q9M2Y4	AT3G49740
Q9SCT2	AT3G50420
Q0WVU0	AT3G51320
Q9SCP4	AT3G53170
Q9LFI1	AT3G53360
Q9LFF1	AT3G53700
Q9SV46	AT3G54980
Q9LY43	AT3G56030
Q9LXY5	AT3G56550
Q7Y211	AT3G57430
Q0WN01	AT3G58590
Q9LYT2	AT3G59040
Q9M1D8	AT3G60050
Q9LEX6	AT3G60960
Q9LEX5	AT3G60980
Q9M2C8	AT3G61360
Q9M316	AT3G61520
Q9LZP3	AT3G62470
Q3EAF8	AT3G62540
Q683I9	AT3G62890
Q9SV26	AT4G01030
Q8LDU5	AT4G01400
Q8VZE4	AT4G01570
Q07099	AT1G59830
Q07098	AT1G10430
P48578	AT3G58500
Q07100	AT2G42500
O04951	AT1G69960
Q6NPT8	AT2G02230
Q9ZVR5	AT2G02250
Q9ZVR3	AT2G02280
Q9ZVR1	AT2G02300
Q9ZVR0	AT2G02310
Q9ZVQ9	AT2G02320
Q9ZVQ8	AT2G02340
Q93WC5	AT4G01990
Q9SY02	AT4G02750
Q9SY07	AT4G02820
Q9XE98	AT4G04370
Q6NQ81	AT4G04790
Q9SUF9	AT4G08210
Q9T0D6	AT4G11690
Q9SVP7	AT4G13650
O23266	AT4G14050
Q5XEY7	AT4G14170
O23278	AT4G14190
O23337	AT4G14820
Q0WSH6	AT4G14850
Q8VYH0	AT4G15720
O23491	AT4G16470
B3H672	AT4G17616
Q0WNP3	AT4G18520
Q9SN39	AT4G18750
O49399	AT4G18840
Q2V3H0	AT4G18975
P0C8Q2	AT4G19191
Q940A6	AT4G19440
P0C8Q3	AT4G19890
O49436	AT4G20090
Q9SVH3	AT4G20740
Q9SVH0	AT4G20770
A8MQA3	AT4G21065
Q8LG95	AT4G21190
Q9STE1	AT4G21300
Q84JR3	AT4G21705
O49711	AT4G21880
P0C8Q5	AT4G22760
Q9SB36	AT4G25270
Q9SZ10	AT4G26680
Q9SUD8	AT4G28010
Q9SUH6	AT4G30700
O65567	AT4G30825
O65543	AT4G31070
Q9SZ52	AT4G31850
Q84MA3	AT4G32430
Q9SUU7	AT4G32450
Q9SMZ2	AT4G33170
O81767	AT4G33990
Q0WLC6	AT4G34830
O49619	AT4G35130
Q8VYR5	AT4G35850
Q9M065	AT4G36680
O23169	AT4G37170
Q9SZT8	AT4G37380
Q9SZK1	AT4G38010
Q9SZL5	AT4G38150
Q9SVA5	AT4G39530
Q9SV96	AT4G39620
Q3E9N1	AT4G39952
Q9LFC5	AT5G01110
Q8GYL7	AT5G02830
Q9LYZ9	AT5G02860
Q9FFN1	AT5G03800
Q9LZ19	AT5G04780
Q0WMY5	AT5G04810
Q9FNG8	AT5G06400
Q9FG16	AT5G06540
P0C8Q6	AT5G08310
P0C8Q7	AT5G08305
Q9FNN9	AT5G08490
Q9FNN7	AT5G08510
Q94B59	AT5G09450
Q9FIB2	AT5G09950
Q8VYD6	AT5G10690
Q9LFM6	AT5G11310
Q9FMQ1	AT5G12100
Q9LYV3	AT5G13230
Q9LYU9	AT5G13270
Q66GP4	AT5G13770
Q9FMU2	AT5G14080
Q9LER0	AT5G14770
Q9LEQ7	AT5G14820
Q9LFQ4	AT5G15010
Q9LXF4	AT5G15280
Q9LXF2	AT5G15300
Q9LXE8	AT5G15340
Q8LPF1	AT5G15980
Q9FFE3	AT5G16420
Q9FMD3	AT5G16640
Q9LFL5	AT5G16860
Q94JX6	AT5G18390
Q3E9F0	AT5G18475
Q8GYM2	AT5G18950
P0C8Q8	AT5G19020
Q8S9D1	AT5G21222
Q8L6Y3	AT5G24830
O04659	AT5G27110
O04647	AT5G27270
Q3E911	AT5G27460
Q9LKU8	AT5G28460
Q9FHR3	AT5G37570
Q9FKR3	AT5G38730
Q9FLZ9	AT5G39350
Q9FK93	AT5G39680
Q9FIX3	AT5G39710
Q9FLD8	AT5G39980
Q9FND8	AT5G40400
Q9FND7	AT5G40405
Q9FND6	AT5G40410
Q9FLL3	AT5G41170
Q8L844	AT5G42310
Q9FIH2	AT5G42450
Q9FG85	AT5G43790
P0C8R0	AT5G43820
Q9FFG8	AT5G44230
Q9FNL2	AT5G46100
Q9FHF9	AT5G46460
Q9LS25	AT5G46580
Q56XR6	AT5G46680
Q9LVS3	AT5G47360
Q9FGL1	AT5G47460
Q9FKC3	AT5G48730
Q9FI80	AT5G48910
Q9FGR7	AT5G50280
Q9FK33	AT5G50390
Q9FI49	AT5G50990
Q9LTF4	AT5G52630
Q9FLX6	AT5G52850
Q9FM64	AT5G55740
Q9FMA1	AT5G56310
Q9LVD3	AT5G57250
Q9FIF7	AT5G59200
Q9FGR2	AT5G59600
Q9FJE6	AT5G59900
Q9FME4	AT5G60960
Q9FLJ6	AT5G61370
Q9FLJ4	AT5G61400
Q9FLS9	AT5G61800
Q9FIT7	AT5G61990
Q9LVA2	AT5G62370
Q9FMF6	AT5G64320
Q9LSL9	AT5G65560
Q9LSL8	AT5G65570
Q9FH87	AT5G65820
Q9FJY9	AT5G66500
Q9FJY7	AT5G66520
B3H4P1	AT5G66631
Q9FJW6	AT5G67570
Q9SIV9	AT2G16430
Q9SI18	AT2G18130
Q38924	AT2G27190
O48840	AT2G32770
Q84LR6	AT2G46880
Q9SFU3	AT3G07130
Q9SR79	AT3G10150
Q9SCX8	AT3G17790
Q9LJU7	AT3G20500
Q9LX83	AT3G46120
Q9LMX4	AT1G13750
Q9LXI7	AT3G52780
Q9LXI4	AT3G52810
Q8S340	AT3G52820
Q8H1R2	AT4G24890
O23244	AT4G36350
Q949Y3	AT5G34850
Q5MAU8	AT5G50400
Q9LU72	AT5G57140
Q9FMK9	AT5G63140
Q9LMG7	AT1G13900
Q8H129	AT1G14700
Q8VYU7	AT1G25230
Q9C927	AT1G52940
Q9C510	AT1G56360
Q8S341	AT2G01880
Q8VYZ2	AT2G01890
Q9ZQ81	AT2G03450
Q9ASU7	AT5G61770
Q9SPK4	AT1G08650
Q93VK0	AT3G04530
Q8GXR5	AT1G12350
Q9LZM3	AT5G02080
O23403	AT4G15510
Q8VY52	AT2G28605
Q9S720	AT1G76450
O49292	AT1G77090
P82715	AT5G11450
Q9LXX5	AT3G56650
O23404	AT4G15530
O23512	AT4G16690
Q9FJX0	AT5G67530
P82538	AT3G55330
O80634	AT2G39470
Q84WM7	AT1G69940
P55826	AT4G01690
Q84XU2	AT2G42810
Q9LEV0	AT5G10900
Q9LNG5	AT1G48120
Q9FN02	AT5G63870
Q9MAT2	AT1G04840
Q9SYK1	AT1G05600
Q0WVK7	AT1G05670
Q9MA50	AT1G05750
Q9LND4	AT1G06140
Q9LNC0	AT1G06270
Q9SHK2	AT1G06580
Q940Q2	AT1G07590
Q9LPC4	AT1G01970
Q9LQQ1	AT1G07740
Q9LN01	AT1G08070
Q9FRS4	AT1G08610
O80488	AT1G09190
Q680Z7	AT1G09220
Q56XI1	AT1G09410
O04491	AT1G09680
O04504	AT1G09820
Q3EDF8	AT1G09900
Q9SY69	AT1G10270
O81908	AT1G02060
Q9SY75	AT1G10330
Q0WVV0	AT1G10910
Q3E6Q1	AT1G11290
Q9SAB4	AT1G11630
Q9SAA6	AT1G11710
Q5BIV3	AT1G11900
Q0WKV3	AT1G12300
Q9ASZ8	AT1G12620
Q9LPX2	AT1G12775
Q8LPS6	AT1G02150
Q9SAD9	AT1G13040
Q9LMH5	AT1G13800
Q9M9R6	AT1G14470
Q9XI21	AT1G15480
Q9M9E2	AT1G15510
Q3EDA9	AT1G16830
Q9LNP2	AT1G17630
Q0WN60	AT1G18485
Q8GYP6	AT1G18900
Q9FZ24	AT1G02370
Q9LN69	AT1G19290
Q9FXH1	AT1G19720
Q9LNU6	AT1G20230
Q9LN22	AT1G20300
Q4V389	AT1G22830
P0C7Q9	AT1G22960
Q9FRI5	AT1G25360
Q9FZD1	AT1G26460
Q9FZD4	AT1G26500
Q9FZ19	AT1G02420
Q9ZVG8	AT1G26900
Q1PFQ9	AT1G28690
Q9C6G2	AT1G29710
Q9SA76	AT1G30610
Q9C866	AT1G31430
Q9C6R9	AT1G31790
Q9C6T2	AT1G31920
P0C7R0	AT1G32415
Q9SA60	AT1G03100
Q9C501	AT1G33350
Q9FX24	AT1G34160
Q9C545	AT1G43010
Q9LP03	AT1G43980
P0C7R1	AT1G47580
Q9SX45	AT1G50270
Q9ZU27	AT1G51965
Q9SSR4	AT1G52620
Q9SSR6	AT1G52640
Q9MAG8	AT1G53330
Q9LR72	AT1G03510
Q9C8L6	AT1G53600
Q7X6A5	AT1G55630
Q9LG23	AT1G55890
Q9FXA9	AT1G56570
Q9FXB9	AT1G56690
Q0WQW5	AT1G59720
O22714	AT1G60770
Q8LE47	AT1G61870
O04590	AT1G62260
Q1PFH7	AT1G62350
Q9LR69	AT1G03540
Q9SXD8	AT1G62590
Q9SXD1	AT1G62670
Q3ECK2	AT1G62680
Q9SI78	AT1G62720
Q9LQ16	AT1G62910
Q9LQ15	AT1G62914
Q9LQ14	AT1G62930
Q9CAN6	AT1G63070
Q9CAN5	AT1G63080
Q9CAN0	AT1G63130
Q9LR67	AT1G03560
Q67YC0	AT1G73010
Q9FZ62	AT1G17710
Q9SU92	AT4G29530
Q8RXN3	AT5G33320
Q8H0T6	AT3G01550
P48529	AT4G26720
P48528	AT5G55260
Q94BR4	AT1G04510
O22785	AT2G33340
Q9LZM7	AT5G02040
Q8GWC3	AT5G05987
Q8W115	AT3G11397
Q9LYN0	AT3G56110
Q9SIY7	AT2G40380
Q9FLB6	AT5G05380
O80915	AT2G38360
Q9M012	AT5G01640
Q9LYQ4	AT5G07110
Q9FZ63	AT1G17700
Q9C889	AT1G55190
Q9LIC6	AT3G13720
Q9LIC7	AT3G13710
Q9ZWD1	AT1G55640
Q9FH16	AT5G56230
P33154	AT2G14610
P28493	AT1G75040
Q1G3K7	AT4G29658
P93829	AT1G04260
Q9FRR1	AT1G08770
Q8LFP1	AT4G27540
Q9LJL3	AT3G19170
Q8VY06	AT1G49630
P48785	AT4G29940
Q84WJ2	AT1G67320
Q42384	AT4G15900
Q39190	AT3G16650
Q9LX49	AT3G59220
P92983	AT3G30775
Q6NKX1	AT5G38710
Q42449	AT2G19760
Q42418	AT4G29350
Q38904	AT4G29340
Q38905	AT2G19770
P43299	AT4G02060
O22212	AT2G41500
Q9SZD4	AT4G29040
Q9SL67	AT2G20140
Q9SEI4	AT5G58290
Q9SSB5	AT1G53750
Q9C5U3	AT5G19990
Q94BQ2	AT5G20000
Q8LBL5	AT3G24800
Q7G959	AT1G65990
Q9XEX2	AT1G65980
Q9SRZ4	AT1G65970
O22711	AT1G60740
Q949U7	AT3G52960
Q9M7T0	AT3G06050
Q9LU86	AT3G26060
Q9SEI3	AT5G43010
Q9MAK9	AT1G45000
Q9SEI2	AT3G05530
O04019	AT1G09100
P34066	AT5G42790
O23712	AT1G47250
O23708	AT1G16470
Q8L4A7	AT1G79210
O23715	AT2G27020
O81148	AT3G22110
O81149	AT1G53850
Q42134	AT3G14290
O81146	AT5G35590
O81147	AT2G05840
P30186	AT3G51260
O24616	AT5G66140
P56766	ATCG00350
P56767	ATCG00340
P62090	ATCG01060
Q9S7H1	AT4G02770
Q9SA56	AT1G03130
Q9S831	AT4G28750
